COD_UNID;SE_PRISINT;categoria_viral;n_casos
6986609;012026;Influenza B;1
6986609;012026;Outro vírus respiratório;1
6986609;012026;SG não especificado;3
6986609;022026;COVID-19;1
6986609;022026;Outro vírus respiratório;1
6986609;022026;SG não especificado;3
6986609;032026;COVID-19;1
6986609;032026;Outro vírus respiratório;2
6986609;032026;SG não especificado;2
6986609;042026;COVID-19;1
6986609;042026;Influenza B;1
6986609;042026;Outro vírus respiratório;2
6986609;042026;SG não especificado;1
6986609;052026;Outro vírus respiratório;1
6986609;052026;SG não especificado;1
6986609;062026;COVID-19;2
6986609;062026;Influenza B;1
6986609;062026;Outro vírus respiratório;1
6986609;062026;SG não especificado;3
6986609;072026;COVID-19;1
6986609;072026;Influenza B;1
6986609;072026;Outro vírus respiratório;4
6986609;082026;COVID-19;1
6986609;082026;Influenza A;1
6986609;082026;Outro vírus respiratório;1
6986609;082026;SG não especificado;2
6986609;092026;COVID-19;1
6986609;092026;Influenza A;1
6986609;092026;Influenza B;1
6986609;092026;Outro vírus respiratório;1
6986609;092026;SG não especificado;3
6986609;102026;Influenza B;1
6986609;102026;Outro vírus respiratório;1
6986609;102026;SG não especificado;2
6986609;112026;Influenza B;2
6986609;112026;Outro vírus respiratório;2
6986609;122026;Outro vírus respiratório;2
6986609;122026;SG não especificado;3
6986609;132026;COVID-19;1
6986609;132026;Influenza B;2
6986609;132026;Outro vírus respiratório;1
6986609;132026;SG não especificado;3
6986609;142026;SG não especificado;3
6986609;152026;Influenza A;1
6986609;152026;Outro vírus respiratório;1
6986609;152026;SG não especificado;2
6986609;162026;Outro vírus respiratório;1
6986609;162026;SG não especificado;1
6986609;172026;Influenza A;2
6986609;172026;Influenza B;1
6986609;172026;Outro vírus respiratório;1
6986609;172026;SG não especificado;4
6986609;182026;Influenza A;2
6986609;182026;Influenza B;1
6986609;182026;Outro vírus respiratório;1
6986609;182026;SG não especificado;1
6986609;192026;Influenza A;1
6986609;192026;SG não especificado;3
6986609;202026;Influenza B;1
6986609;202026;SG não especificado;5
6986609;212026;Influenza B;1
6986609;212026;SG não especificado;3
6986609;222026;Influenza B;3
6986609;222026;SG não especificado;3
